0,1,2,3,4,5,6,genres,moods
때껄룩ᴛᴀᴋᴇ ᴀ ʟᴏᴏᴋ,1930000.0,408.0,708387927.0,367.0,1736245.0,41120,"['Folk (국외)', 'Pop (국외)', 'R&B / Soul (국외)', 'Rap / Hip-hop (국외)', 'Blues (국내)', 'Blues (국내)', 'R&B / Soul (국내)', 'Rap / Hip-hop (국내)', 'Dance (국내)']",['모든 분위기']
때잉,1600000.0,534.0,1456338835.0,910.0,2727226.0,-,"['Pop (국외)', 'Dance (국내)', 'Folk (국내)', 'R&B / Soul (국내)', 'R&B / Soul (국외)', 'Folk (국외)']",['모든 분위기']
essential;,1420000.0,442.0,319202926.0,225.0,722179.0,26917,"['Ballad (국내)', 'Pop (국외)', 'Rap / Hip-hop (국외)', 'R&B / Soul (국외)', 'Folk (국외)']",['모든 분위기']
쏘플 soso playlist,1350000.0,349.0,1004560304.0,744.0,2878396.0,149705,"['OST (국내)', 'OST (국외)', 'Pop (국외)', 'R&B / Soul (국외)', 'Folk (국외)', 'R&B / Soul (국내)']",['모든 분위기']
LQ KPOP,956000.0,63.0,159671540.0,167.0,2534469.0,50992,['Dance (국내)'],"['행복', '다이내믹 템포', '몽환']"
기몽초,899000.0,386.0,602414848.0,670.0,1560660.0,26721,"['Pop (국외)', 'R&B / Soul (국외)', 'Dance (국내)', 'OST (국외)', 'R&B / Soul (국내)', 'Folk (국외)']",['모든 분위기']
리플레이LEEPLAY,867000.0,280.0,229103900.0,264.0,818228.0,20139,"['Blues (국외)', 'Country (국외)', 'Folk (국외)', 'Pop (국외)', 'R&B / Soul (국외)', 'Rock (국외)', 'Jazz (국외)']",['모든 분위기']
네고막을책임져도될까,795000.0,274.0,156825225.0,197.0,572355.0,22806,"['Blues (국외)', 'Country (국외)', 'Folk (국외)', 'Pop (국외)', 'R&B / Soul (국외)', 'Rock (국외)', 'Jazz (국외)']",['모든 분위기']
H녀,693000.0,314.0,288584557.0,416.0,919059.0,40073,"['Pop (국외)', 'R&B / Soul (국외)', 'Folk (국외)', 'Country (국외)', 'Rock (국외)']",['모든 분위기']
table w,663000.0,89.0,500142961.0,754.0,5619584.0,24578,"['Pop (국외)', 'R&B / Soul (국외)', 'Folk (국외)', 'Country (국외)', 'Rock (국외)']",['모든 분위기']
읏추읏추,490000.0,273.0,197599729.0,403.0,723809.0,-,"['Pop (국외)', 'R&B / Soul (국외)', 'Folk (국외)', 'Country (국외)', 'Rock (국외)']",['모든 분위기']
찐막 JJINMAK,492000.0,257.0,242836796.0,494.0,944890.0,-,"['Ballad (국내)', 'Blues (국내)', 'Dance (국내)', 'Folk (국내)', 'R&B / Soul (국내)', 'Rap / Hip-hop (국내)', 'Rock (국내)', 'Electronica (국내)', 'OST (국내)']",['모든 분위기']
직키(Zickii),477000.0,712.0,453686099.0,951.0,637200.0,10323,"['Pop (국외)', 'R&B / Soul (국외)', 'Folk (국외)', 'Country (국외)', 'Rock (국외)']",['모든 분위기']
Sea Pearl,464000.0,68.0,71602107.0,154.0,1052972.0,207368,"['New Age', 'Classic', 'R&B / Soul (국외)', 'Blues (국내)', 'Folk (국내)', 'Blues (국외)', 'Folk (국외)']",['모든 분위기']
민플리ᴘʟᴀʏʟɪsᴛ,409000.0,314.0,116217265.0,284.0,370119.0,801182,"['Ballad (국내)', 'Blues (국내)', 'Dance (국내)', 'Folk (국내)', 'R&B / Soul (국내)', 'Rap / Hip-hop (국내)', 'Rock (국내)', 'Electronica (국내)', 'Jazz (국내)', 'Blues (국외)', 'Country (국외)', 'Electronica (국외)', 'Folk (국외)', 'Pop (국외)', 'EDM (국외)', 'R&B / Soul (국외)', 'Rap / Hip-hop (국외)', 'Rock (국외)']",['모든 분위기']
알파,415000.0,2488.0,1130754608.0,2725.0,454483.0,647,"['Ballad (국내)', 'Blues (국내)', 'Dance (국내)', 'Folk (국내)', 'R&B / Soul (국내)', 'Rap / Hip-hop (국내)', 'Rock (국내)', 'Electronica (국내)', 'Jazz (국내)', 'OST (국내)', 'Blues (국외)', 'Country (국외)', 'Electronica (국외)', 'Folk (국외)', 'Pop (국외)', 'EDM (국외)', 'R&B / Soul (국외)', 'Rap / Hip-hop (국외)', 'Rock (국외)', 'Jazz (국외)', 'OST (국외)']",[]
my blue valentine,384000.0,77.0,58951525.0,154.0,765604.0,524013,"['New Age', 'Classic', '뮤직테라피', 'Jazz (국외)', 'Jazz (국내)']",['모든 분위기']
BeiGe Mellow 베이지멜로우,374000.0,567.0,139235516.0,372.0,245565.0,1415,"['New Age', 'Classic', '뮤직테라피']",['모든 분위기']
thanks for coming.,355000.0,310.0,56379334.0,159.0,181869.0,7667,"['Jazz (국외)', 'New Age', 'Classic', '뮤직테라피', 'R&B / Soul (국외)', 'Pop (국외)']",['모든 분위기']
모트모트TV,388000.0,1382.0,319303041.0,823.0,231044.0,4740,"['Dance (국내)', 'Rock (국내)', 'Folk (국내)', 'R&B / Soul (국내)', 'Pop (국외)', 'OST (국내)', 'OST (국외)', 'Jazz (국내)', 'Jazz (국외)']","['몽환', '유쾌', '희망', '편안함']"
레몬쓰,335000.0,366.0,169032433.0,505.0,461837.0,-,"['Ballad (국내)', 'Folk (국내)', 'Rock (국내)', 'Blues (국내)', 'R&B / Soul (국내)', 'Rap / Hip-hop (국내)', 'Dance (국내)']",['모든 분위기']
𝐓𝐮𝐫𝐧𝐢𝐧𝐠𝐏𝐨𝐢𝐧𝐭 𝐌𝐮𝐬𝐢𝐜,304000.0,862.0,119875587.0,394.0,139067.0,702,"['Ballad (국내)', 'Blues (국내)', 'Dance (국내)', 'Folk (국내)', 'R&B / Soul (국내)', 'Rap / Hip-hop (국내)', 'Rock (국내)', 'Electronica (국내)', 'Jazz (국내)', 'Blues (국외)', 'Country (국외)', 'Electronica (국외)', 'Folk (국외)', 'Pop (국외)', 'EDM (국외)', 'R&B / Soul (국외)', 'Rap / Hip-hop (국외)', 'Rock (국외)', 'Electronica (J-Pop)', 'Pop (J-Pop)', 'R&B / Soul (J-Pop)', 'Rap / Hip-hop (J-Pop)', 'Rock (J-Pop)', 'New Age', 'Classic']",['모든 분위기']
메르헨 Marchen,321000.0,244.0,54010223.0,168.0,221353.0,11361,"['New Age', 'Classic']","['몽환', '우아한', '미스테리', '모든 분위기']"
