channel_name,subscribers,video_num,total_view,vs_index,vv_index,cpi,genres,moods
때껄룩ᴛᴀᴋᴇ ᴀ ʟᴏᴏᴋ,1930000,408,708387927,367,1736245,41120,"Folk (국외), Pop (국외), R&B / Soul (국외), Rap / Hip-hop (국외), Blues (국내), Blues (국내), R&B / Soul (국내), Rap / Hip-hop (국내), Dance (국내)",모든 분위기
때잉,1600000,534,1456338835,910,2727226,-,"Pop (국외), Dance (국내), Folk (국내), R&B / Soul (국내), R&B / Soul (국외), Folk (국외)",모든 분위기
essential;,1420000,442,319202926,225,722179,26917,"Ballad (국내), Pop (국외), Rap / Hip-hop (국외), R&B / Soul (국외), Folk (국외)",모든 분위기
쏘플 soso playlist,1350000,349,1004560304,744,2878396,149705,"OST (국내), OST (국외), Pop (국외), R&B / Soul (국외), Folk (국외), R&B / Soul (국내)",모든 분위기
LQ KPOP,956000,63,159671540,167,2534469,50992,Dance (국내),"행복, 다이내믹 템포, 몽환"
기몽초,899000,386,602414848,670,1560660,26721,"Pop (국외), R&B / Soul (국외), Dance (국내), OST (국외), R&B / Soul (국내), Folk (국외)",모든 분위기
리플레이LEEPLAY,867000,280,229103900,264,818228,20139,"Blues (국외), Country (국외), Folk (국외), Pop (국외), R&B / Soul (국외), Rock (국외), Jazz (국외)",모든 분위기
네고막을책임져도될까,795000,274,156825225,197,572355,22806,"Blues (국외), Country (국외), Folk (국외), Pop (국외), R&B / Soul (국외), Rock (국외), Jazz (국외)",모든 분위기
H녀,693000,314,288584557,416,919059,40073,"Pop (국외), R&B / Soul (국외), Folk (국외), Country (국외), Rock (국외)",모든 분위기
table w,663000,89,500142961,754,5619584,24578,"Pop (국외), R&B / Soul (국외), Folk (국외), Country (국외), Rock (국외)",모든 분위기
읏추읏추,490000,273,197599729,403,723809,-,"Pop (국외), R&B / Soul (국외), Folk (국외), Country (국외), Rock (국외)",모든 분위기
찐막 JJINMAK,492000,257,242836796,494,944890,-,"Ballad (국내), Blues (국내), Dance (국내), Folk (국내), R&B / Soul (국내), Rap / Hip-hop (국내), Rock (국내), Electronica (국내), OST (국내)",모든 분위기
직키(Zickii),477000,712,453686099,951,637200,10323,"Pop (국외), R&B / Soul (국외), Folk (국외), Country (국외), Rock (국외)",모든 분위기
Sea Pearl,464000,68,71602107,154,1052972,207368,"New Age, Classic, R&B / Soul (국외), Blues (국내), Folk (국내), Blues (국외), Folk (국외)",모든 분위기
민플리ᴘʟᴀʏʟɪsᴛ,409000,314,116217265,284,370119,801182,"Ballad (국내), Blues (국내), Dance (국내), Folk (국내), R&B / Soul (국내), Rap / Hip-hop (국내), Rock (국내), Electronica (국내), Jazz (국내), Blues (국외), Country (국외), Electronica (국외), Folk (국외), Pop (국외), EDM (국외), R&B / Soul (국외), Rap / Hip-hop (국외), Rock (국외)",모든 분위기
알파,415000,2488,1130754608,2725,454483,647,"Ballad (국내), Blues (국내), Dance (국내), Folk (국내), R&B / Soul (국내), Rap / Hip-hop (국내), Rock (국내), Electronica (국내), Jazz (국내), OST (국내), Blues (국외), Country (국외), Electronica (국외), Folk (국외), Pop (국외), EDM (국외), R&B / Soul (국외), Rap / Hip-hop (국외), Rock (국외), Jazz (국외), OST (국외)",
my blue valentine,384000,77,58951525,154,765604,524013,"New Age, Classic, 뮤직테라피, Jazz (국외), Jazz (국내)",모든 분위기
BeiGe Mellow 베이지멜로우,374000,567,139235516,372,245565,1415,"New Age, Classic, 뮤직테라피",모든 분위기
thanks for coming.,355000,310,56379334,159,181869,7667,"Jazz (국외), New Age, Classic, 뮤직테라피, R&B / Soul (국외), Pop (국외)",모든 분위기
모트모트TV,388000,1382,319303041,823,231044,4740,"Dance (국내), Rock (국내), Folk (국내), R&B / Soul (국내), Pop (국외), OST (국내), OST (국외), Jazz (국내), Jazz (국외)","몽환, 유쾌, 희망, 편안함"
레몬쓰,335000,366,169032433,505,461837,-,"Ballad (국내), Folk (국내), Rock (국내), Blues (국내), R&B / Soul (국내), Rap / Hip-hop (국내), Dance (국내)",모든 분위기
𝐓𝐮𝐫𝐧𝐢𝐧𝐠𝐏𝐨𝐢𝐧𝐭 𝐌𝐮𝐬𝐢𝐜,304000,862,119875587,394,139067,702,"Ballad (국내), Blues (국내), Dance (국내), Folk (국내), R&B / Soul (국내), Rap / Hip-hop (국내), Rock (국내), Electronica (국내), Jazz (국내), Blues (국외), Country (국외), Electronica (국외), Folk (국외), Pop (국외), EDM (국외), R&B / Soul (국외), Rap / Hip-hop (국외), Rock (국외), Electronica (J-Pop), Pop (J-Pop), R&B / Soul (J-Pop), Rap / Hip-hop (J-Pop), Rock (J-Pop), New Age, Classic",모든 분위기
메르헨 Marchen,321000,244,54010223,168,221353,11361,"New Age, Classic","몽환, 우아한, 미스테리, 모든 분위기"
JAZZ IS EVERYWHERE,290000,147,33454835,115,227584,11781,"Jazz (국외), Jazz (국내)",모든 분위기
MONKEY BGM,283000,350,96016562,339,274333,1108,"Jazz (국외), Jazz (국내), New Age, 뮤직테라피",모든 분위기
All was well,319000,215,59745782,187,277887,22329,"New Age, Classic",모든 분위기
눈에띠네,232000,229,122390882,528,534458,-,"Ballad (국내), Folk (국내), Rock (국내), Blues (국내), R&B / Soul (국내), Rap / Hip-hop (국내), Dance (국내)",모든 분위기
원플리 Oneplaylist,232000,221,52863872,228,239203,4580,"Ballad (국내), Blues (국내), Dance (국내), Folk (국내), R&B / Soul (국내), Rap / Hip-hop (국내), Rock (국내), Electronica (국내), Jazz (국내), Blues (국외), Country (국외), Electronica (국외), Folk (국외), Pop (국외), EDM (국외), R&B / Soul (국외), Rap / Hip-hop (국외), Rock (국외), Electronica (J-Pop), Pop (J-Pop), R&B / Soul (J-Pop), Rap / Hip-hop (J-Pop), Rock (J-Pop)",모든 분위기
히조heejo,245000,233,19906691,81,85436,6481,,"행복, 희망, 편안함, 차분함, 로맨틱"
by the way,216000,137,35482314,164,258995,19665,"New Age, Classic, 뮤직테라피",모든 분위기
새던,213000,81,25057608,118,309353,-,"New Age, Classic, 뮤직테라피","슬픔, 감성적"
